time,action,pair,amount,price,value,quality,reason,pnl,pnl_pct,hold_time
2025-11-07 15:00:00.000,BUY,APTUSD,4241.064027529903,3.128,13266.048278113538,0.65,Bullish momentum continuation,,,
2025-11-07 21:00:00.000,BUY,ALGOUSD,72222.6667510506,0.1859,13426.193749020307,0.65,Bullish momentum continuation,,,
2025-11-07 21:45:00.000,BUY,ADAUSD,22915.895624863504,0.5856,13419.548477920069,0.65,Bullish momentum continuation,,,
2025-11-08 05:00:00.000,SELL,ALGOUSD,103612.99280801647,0.1783,18474.196617669335,,Stop Loss,-815.1700402674298,-4.232087143625609,8.0
2025-11-08 05:00:00.000,BUY,ALGOUSD,72942.04883022083,0.1783,13005.567306428373,0.65,Bullish momentum continuation,,,
2025-11-08 15:00:00.000,SELL,ADAUSD,32007.414727627434,0.5574,17840.932969179532,,Stop Loss,-902.0959374645732,-4.8198495619813615,17.25
2025-11-09 02:00:00.000,SELL,APTUSD,6081.651713750538,2.982,18135.485410404104,,Stop Loss,-926.1679044405064,-4.86574553097407,35.0
2025-11-09 03:00:00.000,BUY,ARBUSD,43488.66333101734,0.2867,12468.199777002672,0.65,Bullish momentum continuation,,,
2025-11-09 04:00:00.000,BUY,FETUSD,40904.3655679472,0.305,12475.831498223895,0.65,Bullish momentum continuation,,,
2025-11-09 06:00:00.000,SELL,FETUSD,58682.73668178471,0.2895,16988.65226937667,,Stop Loss,-935.0653969717297,-5.224344262295092,2.0
2025-11-09 06:00:00.000,BUY,FETUSD,42428.9747339292,0.2895,12283.188185472503,0.65,Bullish momentum continuation,,,
2025-11-09 09:00:00.000,SELL,ALGOUSD,103238.12303693336,0.1706,17612.42379010083,,Stop Loss,-821.3521830695406,-4.462086371284365,28.0
2025-11-09 09:00:00.000,BUY,NEARUSD,4457.738779148797,2.74,12214.204254867705,0.65,Bullish momentum continuation,,,
2025-11-09 11:00:00.000,SELL,FETUSD,59020.39652183183,0.3168,18697.661618116326,,Take Profit,1583.2103326188353,9.2659067357513,5.0
2025-11-09 15:00:00.000,SELL,ARBUSD,62390.25452326436,0.2991,18660.92512790837,,Take Profit,745.6477683966142,4.168590861527722,12.0
2025-11-09 15:00:00.000,SELL,NEARUSD,8400.694863456532,2.884,24227.60398620864,,Take Profit,1193.4744599015478,5.1895184600237005,6.0
2025-11-09 15:00:00.000,BUY,UNIUSD,1996.6279074238087,6.517,13012.024072680962,0.65,Bullish momentum continuation,,,
2025-11-09 19:40:09.496,BUY,NEARUSD,4345.949241666958,2.965,12885.73950154253,0.628225527071167,Bullish momentum continuation,,,
2025-11-09 19:41:22.379,BUY,AAVEUSD,60.7864283218139,212.54,12919.547475518326,0.6324601870966413,Bullish momentum continuation,,,
2025-11-09 20:07:00.280,BUY,APTUSD,1759.4097780961622,3.233,5688.171812584893,0.6490460958665271,Bullish momentum continuation,,,
2025-11-09 20:34:00.441,SELL,UNIUSD,2861.97600008514,6.7,19175.23920057044,,End of Backtest,474.2103949908523,2.5396510329409767,5.566789166666666
2025-11-09 20:34:00.441,SELL,NEARUSD,4345.949241666958,2.939,12772.74482125919,,End of Backtest,-132.15379751522892,-1.0255817875210733,0.8974847222222223
2025-11-09 20:34:00.441,SELL,AAVEUSD,87.56680243938186,213.68,18711.274345247115,,End of Backtest,62.65391606305007,0.3364771944271547,0.8772394444444445
2025-11-09 20:34:00.441,SELL,APTUSD,1933.3521678393424,3.221,6227.327332610522,,End of Backtest,-31.32362028478643,-0.5012332637647098,0.45004472222222225
